time,acc,auropharma,axisbank,bajajauto,biocon,britannia,cipla,dabur,divislab,drreddy,godrejcp,hcltech,hdfcbank,heromotor,hindunilver,icicibank,indusindbank,infy,kotakbank,m_m,marico,maruti,mindtree,nestleind,sbin,sunpharma,tatamotors,tcs,tech_m,wipro,shreecem,ultracemco
1514778300,1742,688.9,566.6,3312.4,269.73,2377.27,616.5,351.1,1106.75,2420.8,660.99,442.5,930.8,3774.5,1353.7,312.4,1633,519.75,1006.55,749.95,321.35,9718.7,610.7,7897.15,309.1,576.2,426.85,1328.57,505.8,229.54,17976.9,4286.55
1514864700,1744.9,675.45,560,3309.1,271.65,2341.05,610.65,350.25,1085.45,2421.5,656.56,447.52,936.6,3757.55,1346.15,310.95,1643.25,515.72,1005.65,756.8,326.05,9610.75,606.95,7905.8,304.6,574.7,440.75,1317.43,514.85,233.74,18056.85,4266.8
1514951100,1779,669.45,561.1,3259.6,272.1,2349.52,608.3,355.75,1103.75,2348.15,659.36,449.1,929.63,3766.05,1354.6,315.45,1632.35,511.33,1001.35,758.2,322.15,9471.05,602.85,7901.4,304.45,571.45,434.85,1316.13,519.15,229.24,18187.7,4316.65
1515037500,1802.95,672.1,560.35,3281,272.05,2325.02,617.45,356.55,1108.5,2417.5,662.16,446.5,930.4,3759.05,1356.45,315.5,1646.05,509.52,1001.65,758,324.1,9436.7,603.2,7888.8,309.7,584.4,430.7,1325.2,522.05,230.7,18087.4,4363.9
1515123900,1810.2,673.95,563.95,3292.1,271.92,2334.27,616,359.25,1110.85,2477.5,662.93,450.27,931.85,3758.75,1358.05,313.1,1701.4,506.8,1003.75,758.4,327.55,9480.9,603.7,7865,307.9,581.6,431.75,1341.7,524.55,229.69,19016.1,4399.8
1515383100,1825.2,680.7,567.15,3291.7,278.73,2357.93,615.65,361.5,1120.3,2479.9,665.83,450.98,931.03,3793.95,1368.8,314.2,1719.7,518.47,1009.5,763.5,324.9,9490.25,634.05,7989.95,307.35,593.05,433.9,1353.9,534.15,229.42,19401.25,4422.65
1515469500,1818.2,675.5,567.1,3258,273.7,2331.82,615.65,360.15,1094.8,2461.95,662.03,448.75,930.1,3766.25,1364.35,312.8,1724.7,520.72,1010.3,764.15,325.35,9428.6,627.85,7819.85,305.55,589.15,437.35,1353.78,532.1,234.08,19424.85,4433.45
1515555900,1820.4,675.3,563.1,3210.55,271.83,2348.57,619.6,357.95,1084.35,2436.3,655.89,458.05,931.1,3742.15,1367.45,311.9,1734.2,526.95,1003.7,761.3,322,9417.25,625.35,7863.45,302.3,587.85,433.65,1399.95,539.55,240.79,19538.35,4403.9
1515642300,1807.9,677.15,559.95,3208.5,273.98,2372.68,613.35,361.4,1103.8,2435.3,659.19,458.55,934.33,3721.8,1379.4,310.55,1694.5,537.67,1018.45,767.55,317.9,9380.2,623.1,7899.45,303.1,590,434.75,1395.3,548.3,238.72,19617.1,4404.35
1515728700,1803.35,669.1,557.15,3182.95,269.98,2360.48,611.8,358.85,1095.75,2449.85,661.66,462.6,930.88,3690.1,1373.85,318.9,1697.8,539.13,1021,767.9,314.2,9492.45,632.3,7816.15,302.9,585.7,436.95,1386.85,550.4,238.69,18897.9,4402
1515987900,1831.8,660,561.7,3170.35,269.27,2365.45,610.95,361.65,1081.25,2437.95,670.16,455.17,947.35,3637.85,1373.05,328.1,1681.35,539.35,1036.65,761.6,313.05,9395.6,625.8,7782.1,303.15,578.3,432.75,1372,544.5,236.03,19097.1,4534.1
1516074300,1847.45,642.75,563.95,3161.95,267.5,2338.77,602.45,358.55,1094.8,2469.8,670.76,474,951.17,3599.15,1386.1,332.9,1664.75,559.9,1032.75,749.75,314.3,9341.65,619.55,7781.8,296.75,579.15,422.05,1420.57,558.35,248.21,19163.2,4532.9
1516160700,1843.1,659.8,586.1,3194.4,275.92,2375.6,607.85,360.15,1107.65,2495.4,666.83,475.73,946.05,3577.45,1376.55,342.6,1656.85,573.72,1026.35,748.25,311.65,9338.75,623.45,7775.3,307.55,584.65,424.1,1436.8,553.65,244.2,19024.55,4530.65
1516247100,1832.8,646.3,584.2,3196.1,269.98,2322.48,604,363.9,1090.75,2466.55,689.23,478.65,965.92,3598.1,1359.65,346,1672.8,574.4,1043.4,759.15,311.75,9378.7,684.15,7730.65,303.05,578.2,418.25,1453.22,552.1,244.13,18477.55,4415.75
1516333500,1823.15,643.75,591.7,3205.85,282.55,2348.3,604,363.75,1098.05,2495.55,699.76,479.73,975.2,3604.55,1366.25,353.8,1684,571.35,1057.6,765.75,314.5,9347.35,701.4,7691.4,309.15,573.85,419.25,1473.85,553.75,246.3,18419.7,4314.85
1516592700,1813.95,642,612.25,3279.05,300,2360.5,602.3,364.45,1080.45,2503.8,728.29,484.73,983.1,3611.2,1358.1,350.4,1675.4,575.4,1069.25,761.05,316.45,9332.2,755.05,7675.9,306.25,576.95,421.75,1556.43,570.85,241.65,18427.8,4340.65
1516679100,1789.95,654.55,619.55,3299.85,320.5,2367.23,622.8,365.45,1102.3,2527.1,722.46,496.88,977.2,3628.95,1369.65,361.25,1718.65,588.75,1074.35,770.15,313.3,9414.05,759.05,7605.3,318.35,580.6,418.6,1551.38,586.75,237.04,18466.2,4382.9
1516765500,1740.1,657.5,609,3333.35,316.83,2358.45,618.55,360.1,1103.9,2562.75,742.06,505.73,980.15,3640.2,1367.6,353.15,1717.35,591.03,1082.25,756.6,312.7,9436.25,754.85,7587.05,329.8,586.55,404.45,1586.15,600.8,236.06,18307.8,4282.9
1516851900,1737.05,643.5,617.15,3316.6,304.98,2321.6,624.15,356.05,1124.6,2512.05,720.09,502.48,985.72,3588.7,1378.95,357.15,1710.4,587.47,1093,761,308.25,9334.15,753.65,7544.75,314.45,583.25,402.85,1566.78,599.9,234.15,18287.9,4356.35
1517197500,1739.35,637.3,608.9,3381.7,308.08,2347.4,616.1,360.35,1099.05,2363.95,710.66,506.35,1002.45,3650.8,1399.5,357.1,1723.15,591.78,1112.85,768.55,310.35,9639.3,762.9,7552.6,312.4,588.05,400.9,1599.15,608.65,233.7,17917.7,4390.4
1517283900,1735.5,634.3,597,3371.1,315.25,2358.38,609.25,359.35,1080.6,2319.75,709.33,502.4,1001.83,3695.25,1402.15,354.8,1724.3,587.63,1093.1,767.25,313.55,9615.15,765.1,7468.85,314.05,593.4,397.9,1582.1,605,230.89,17435.1,4380.95
1517370300,1717.85,629.05,596.75,3347.1,308.83,2345.48,593.6,356.1,1040.6,2236.9,705.43,495.63,1006.58,3659.6,1374.1,354.35,1749.9,578.3,1112.75,766.3,307.45,9548.95,770.2,7503.45,314.1,581.05,400.55,1564.6,613.7,229.72,17304.35,4385.6
1517456700,1739.5,613.1,593.9,3410.5,309.83,2375.13,588.15,351.25,1040.55,2167.6,700.33,495.33,1000.17,3689.65,1374.7,345.9,1769.4,575.35,1120.8,801.3,308.75,9446.6,757.3,7334.9,306.1,555.4,395.5,1577.03,613.05,226.76,17542.45,4410.1
1517543100,1673.45,604.8,567,3230.25,299.33,2360.88,580.65,345,1025.3,2124.65,700.89,497.17,977.35,3565.05,1372.15,336.25,1741.3,572.7,1089.45,771.25,302.25,9004.65,736.85,7166.05,298.2,551.5,384.25,1577.3,618.3,225.9,17019.6,4167
1517802300,1650.15,616.05,568.5,3175.65,303.58,2318.2,582.5,340.55,1034.55,2126,692.09,497.23,961.47,3603.15,1360.6,331.25,1711.1,569.67,1066.7,763.95,295.05,9099.2,707.5,7149.5,298.35,558,396.9,1557.7,627.55,225,16670.05,4153.35
1517888700,1624.35,596.6,565.05,3143.95,292.73,2266.35,567.05,339.85,1006.6,2096.2,675.19,478,949.15,3503.3,1331.05,331.85,1675.2,556.25,1036.95,755.05,297,9002.1,723.35,7042.75,293.55,552.05,375.6,1505.05,608.85,221.85,16651.8,4110.5
